이름,평점,주소,리뷰
하얀풍차제과 망포역점,,수원시 영통구 영통로 195 골든스퀘어 1층 130호, 
아우어베이커리 광교앨리웨이점,3.1,"수원시 영통구 광교호수공원로 80 광교아이파크 에프동 1층 139, 140호",
르디투어 광교점,4.1,수원시 영통구 웰빙타운로36번길 46-234,
파리바게뜨 뉴수원역점,5.0,수원시 팔달구 매산로 12-1 1층,
삐에스몽테제빵소,3.4,수원시 권선구 오목천로 149,
유로빵,4.3,수원시 영통구 동수원로 316 임광아파트 상가 1층,
뚜레쥬르 수원천천푸르지오점,3.4,수원시 장안구 정자천로13번길 15 1층,
베이콜로지 빵학개론 수원영통점,4.3,"수원시 영통구 신원로250번길 13 현대테라타워 영통 지하1-2층 L147, G219호",
파리바게뜨 수원시청역,3.4,수원시 팔달구 권광로 181 씨네파크 1층 104호,
파리바게뜨 수원인계한신점,4.5,수원시 팔달구 경수대로 549 동수원빌딩 1층,
홍종흔베이커리 광교엘포트점,3.6,수원시 영통구 광교중앙로 145 광교엘포트아이파크 1층,
도쿄팡야 호매실점,3.8,수원시 권선구 금곡로196번길 76 JS프라자 1층 105호,
르페르베이커리,4.8,수원시 영통구 광교중앙로248번길 7-1 101호,
오직유과자집,3.6,수원시 영통구 영통로154번길 56,
뚱보네꽈배기,5.0,수원시 장안구 경수대로1081번길 41 1층,
